moneda,fecha,PC,score,score_z
usdzar,2026-02-26,PC1,1.2591788724663835,0.1441662198761474
usdzar,2026-02-27,PC1,4.039338241824236,0.4624729161666512
usdzar,2026-03-02,PC1,15.175949339723056,1.7375285570463712
usdzar,2026-03-03,PC1,27.618612499450794,3.1621170346282494
usdzar,2026-03-04,PC1,21.00916389116938,2.405386404725598
usdzar,2026-03-05,PC1,39.42854106107843,4.514262305619254
usdzar,2026-03-06,PC1,30.34483423245276,3.4742482896748483
usdzar,2026-03-09,PC1,23.779698733691177,2.7225911673016863
usdzar,2026-03-10,PC1,13.216523161746084,1.5131894489322066
usdzar,2026-03-11,PC1,17.07857449700309,1.9553643886062322
usdzar,2026-03-12,PC1,35.55249644226472,4.0704852434524375
usdzar,2026-03-13,PC1,31.433011822655942,3.598836188315688
usdzar,2026-03-16,PC1,15.708256009729256,1.7984735443771545
usdzar,2026-03-17,PC1,9.09839788293631,1.041696027779477
usdzar,2026-03-18,PC1,8.728069266734305,0.9992962719725568
usdzar,2026-03-19,PC1,17.070506715377356,1.9544406901506746
usdzar,2026-03-20,PC1,22.344839165172093,2.558310869585653
usdzar,2026-03-23,PC1,29.012046517091633,3.3216544278952065
usdzar,2026-03-24,PC1,29.152035294849487,3.3376820577703024
usdzar,2026-03-25,PC1,28.182261941086193,3.22665052634473
usdzar,2026-03-26,PC1,28.684768642024064,3.2841836482233937
usdzar,2026-03-27,PC1,25.640587624171815,2.9356485198481366
usdzar,2025-02-04,PC2,0.6546658700615602,0.4091128001669209
usdzar,2025-02-05,PC2,0.2751941506062855,0.17197391019255054
usdzar,2025-02-06,PC2,0.7510975690744676,0.4693747508996123
usdzar,2025-02-07,PC2,0.8153791304776911,0.5095454865182291
usdzar,2025-02-10,PC2,1.0237484178819898,0.6397593047989081
usdzar,2025-02-11,PC2,1.0702902810534594,0.6688441751699191
usdzar,2025-02-12,PC2,1.2325795909322055,0.770261763955184
usdzar,2025-02-13,PC2,1.4287025981443944,0.892822655437416
usdzar,2025-02-14,PC2,1.4007088801611176,0.8753288637568684
usdzar,2025-02-17,PC2,1.2239733250563791,0.7648835493690025
usdzar,2025-02-18,PC2,1.2720290638905414,0.7949144686174515
usdzar,2025-02-19,PC2,0.9342579524888981,0.5838350592264819
usdzar,2025-02-20,PC2,1.5773966796131886,0.9857443347548768
